year,district,office,candidate,party,votes,percentage
2018,31,Lieutenant Governor,Patrick,REP,24437,53.0
2018,31,Lieutenant Governor,Collier,DEM,20823,45.1
2018,31,Lieutenant Governor,McKennon,LIB,861,1.9
2018,31,Attorney General,Paxton,REP,23861,51.8
2018,32,U.S. Senate,Cruz,REP,34676,58.1
2018,32,U.S. Senate,O'Rourke,DEM,24517,41.1
2018,32,U.S. Senate,Dikeman,LIB,494,0.8
2018,32,Governor,Abbott,REP,38722,65.0
2018,32,Governor,Valdez,DEM,19970,33.5
2018,32,Governor,Tippetts,LIB,910,1.5
2018,32,Lieutenant Governor,Patrick,REP,34605,58.6
2018,32,Lieutenant Governor,Collier,DEM,23065,39.0
2018,32,Lieutenant Governor,McKennon,LIB,1425,2.4
2018,32,Attorney General,Paxton,REP,34155,57.9
2018,33,U.S. Senate,Cruz,REP,39036,60.0
2018,33,U.S. Senate,O'Rourke,DEM,25486,39.2
2018,33,U.S. Senate,Dikeman,LIB,559,0.9
2018,33,Governor,Abbott,REP,42478,65.5
2018,33,Governor,Valdez,DEM,21199,32.7
2018,33,Governor,Tippetts,LIB,1152,1.8
2018,33,Lieutenant Governor,Patrick,REP,39020,60.4
2018,33,Lieutenant Governor,Collier,DEM,24105,37.3
2018,33,Lieutenant Governor,McKennon,LIB,1437,2.2
2018,33,Attorney General,Paxton,REP,38277,59.4
2018,34,U.S. Senate,Cruz,REP,17957,41.4
2018,34,U.S. Senate,O'Rourke,DEM,25122,57.9
2018,34,U.S. Senate,Dikeman,LIB,281,0.6
2018,34,Governor,Abbott,REP,21271,49.1
2018,34,Governor,Valdez,DEM,21547,49.7
2018,34,Governor,Tippetts,LIB,510,1.2
2018,34,Lieutenant Governor,Patrick,REP,17580,41.0
2018,34,Lieutenant Governor,Collier,DEM,24426,57.0
2018,34,Lieutenant Governor,McKennon,LIB,882,2.1
2018,34,Attorney General,Paxton,REP,17473,40.7
2018,35,U.S. Senate,Cruz,REP,7285,27.9
2018,35,U.S. Senate,O'Rourke,DEM,18614,71.4
2018,35,U.S. Senate,Dikeman,LIB,175,0.7
2018,35,Governor,Abbott,REP,8795,34.0
2018,35,Governor,Valdez,DEM,16821,65.0
2018,35,Governor,Tippetts,LIB,263,1.0
2018,35,Lieutenant Governor,Patrick,REP,7069,27.7
2018,35,Lieutenant Governor,Collier,DEM,17898,70.2
2018,35,Lieutenant Governor,McKennon,LIB,516,2.0
2018,35,Attorney General,Paxton,REP,6645,26.1
2018,36,U.S. Senate,Cruz,REP,8548,27.1
2018,36,U.S. Senate,O'Rourke,DEM,22812,72.3
2018,36,U.S. Senate,Dikeman,LIB,174,0.6
2018,36,Governor,Abbott,REP,10272,32.7
2018,36,Governor,Valdez,DEM,20742,66.1
2018,36,Governor,Tippetts,LIB,364,1.2
2018,36,Lieutenant Governor,Patrick,REP,8576,27.5
2018,36,Lieutenant Governor,Collier,DEM,21990,70.6
2018,36,Lieutenant Governor,McKennon,LIB,579,1.9
2018,36,Attorney General,Paxton,REP,8217,26.4
2018,37,U.S. Senate,Cruz,REP,18037,45.6
2018,37,U.S. Senate,O'Rourke,DEM,21267,53.8
2018,37,U.S. Senate,Dikeman,LIB,249,0.6
2018,37,Governor,Abbott,REP,20826,53.0
2018,37,Governor,Valdez,DEM,17970,45.8
2018,37,Governor,Tippetts,LIB,478,1.2
2018,37,Lieutenant Governor,Patrick,REP,17836,46.2
2018,37,Lieutenant Governor,Collier,DEM,19809,51.3
2018,37,Lieutenant Governor,McKennon,LIB,972,2.5
2018,37,Attorney General,Paxton,REP,16890,43.7
2018,38,U.S. Senate,Cruz,REP,8411,26.6
2018,38,U.S. Senate,O'Rourke,DEM,22893,72.5
2018,38,U.S. Senate,Dikeman,LIB,258,0.8
2018,38,Governor,Abbott,REP,10936,34.8
2018,38,Governor,Valdez,DEM,19937,63.5
2018,38,Governor,Tippetts,LIB,545,1.7
2018,38,Lieutenant Governor,Patrick,REP,8606,27.9
2018,38,Lieutenant Governor,Collier,DEM,21263,68.9
2018,38,Lieutenant Governor,McKennon,LIB,1014,3.3
2018,38,Attorney General,Paxton,REP,7900,25.5
2018,39,U.S. Senate,Cruz,REP,9580,30.0
2018,39,U.S. Senate,O'Rourke,DEM,22176,69.5
2018,39,U.S. Senate,Dikeman,LIB,173,0.5
2018,39,Governor,Abbott,REP,11472,36.1
2018,39,Governor,Valdez,DEM,19944,62.8
2018,39,Governor,Tippetts,LIB,338,1.1
2018,39,Lieutenant Governor,Patrick,REP,9515,30.3
2018,39,Lieutenant Governor,Collier,DEM,21295,67.8
2018,39,Lieutenant Governor,McKennon,LIB,610,1.9
2018,39,Attorney General,Paxton,REP,9023,28.7
2018,40,U.S. Senate,Cruz,REP,8835,28.4
2018,40,U.S. Senate,O'Rourke,DEM,22113,71.1
2018,40,U.S. Senate,Dikeman,LIB,167,0.5
2018,40,Governor,Abbott,REP,10809,34.9
2018,40,Governor,Valdez,DEM,19834,64.0
2018,40,Governor,Tippetts,LIB,329,1.1
2018,40,Lieutenant Governor,Patrick,REP,8682,28.3
2018,40,Lieutenant Governor,Collier,DEM,21393,69.7
2018,40,Lieutenant Governor,McKennon,LIB,601,2.0
2018,40,Attorney General,Paxton,REP,8295,27.1
2018,41,U.S. Senate,Cruz,REP,15910,37.7
2018,41,U.S. Senate,O'Rourke,DEM,26084,61.8
2018,41,U.S. Senate,Dikeman,LIB,229,0.5
