year,district,office,candidate,party,votes,percentage
2018,20,Lieutenant Governor,Collier,D,5048,2.7
2018,20,Lieutenant Governor,McKennon,L,68434,36.7
2018,20,Attorney General,Paxton,R,113444,60.8
2018,21,U.S. Senate,Cruz,R,136325,63.5
2018,21,U.S. Senate,O'Rourke,D,6847,3.2
2018,21,U.S. Senate,Dikeman,L,74501,35.0
2018,21,Governor,Abbott,R,126879,59.6
2018,21,Governor,Valdez,D,11525,5.4
2018,21,Governor,Tippetts,L,79530,37.1
2018,21,Lieutenant Governor,Patrick,R,126752,59.1
2018,21,Lieutenant Governor,Collier,D,8236,3.8
2018,21,Lieutenant Governor,McKennon,L,71679,33.6
2018,21,Attorney General,Paxton,R,134180,62.9
2018,22,U.S. Senate,Cruz,R,108844,38.1
2018,22,U.S. Senate,O'Rourke,D,6703,2.3
2018,22,U.S. Senate,Dikeman,L,176525,62.2
2018,22,Governor,Abbott,R,97826,34.5
2018,22,Governor,Valdez,D,9289,3.3
2018,22,Governor,Tippetts,L,178294,62.6
2018,22,Lieutenant Governor,Patrick,R,97535,34.2
2018,22,Lieutenant Governor,Collier,D,9187,3.2
2018,22,Lieutenant Governor,McKennon,L,172010,60.5
2018,22,Attorney General,Paxton,R,106209,37.3
2018,23,U.S. Senate,Cruz,R,203649,77.7
2018,23,U.S. Senate,O'Rourke,D,6047,2.3
2018,23,U.S. Senate,Dikeman,L,55492,21.3
2018,23,Governor,Abbott,R,195005,74.9
2018,23,Governor,Valdez,D,9888,3.8
2018,23,Governor,Tippetts,L,59877,22.9
2018,23,Lieutenant Governor,Patrick,R,194973,74.6
2018,23,Lieutenant Governor,Collier,D,6400,2.4
2018,23,Lieutenant Governor,McKennon,L,52329,20.1
2018,23,Attorney General,Paxton,R,202531,77.7
2018,24,U.S. Senate,Cruz,R,109879,38.4
2018,24,U.S. Senate,O'Rourke,D,8100,2.8
2018,24,U.S. Senate,Dikeman,L,175073,61.6
2018,24,Governor,Abbott,R,99001,34.8
2018,24,Governor,Valdez,D,10227,3.6
2018,24,Governor,Tippetts,L,174240,61.1
2018,24,Lieutenant Governor,Patrick,R,99276,34.8
2018,24,Lieutenant Governor,Collier,D,11449,4.0
2018,24,Lieutenant Governor,McKennon,L,169814,59.7
