year,district,office,candidate,party,votes,percentage
2018,135,U.S. Senate,O'Rourke,DEM,29762,64.4
2018,135,U.S. Senate,Cruz,REP,16162,35.0
2018,135,U.S. Senate,Dikeman,LIB,315,0.7
2018,136,Attorney General,Paxton,REP,23031,35.5
2018,136,Governor,Valdez,DEM,36167,55.3
2018,136,Governor,Abbott,REP,27285,41.8
2018,136,Governor,Tippetts,LIB,1896,2.9
2018,136,Lieutenant Governor,Collier,DEM,38653,59.5
2018,136,Lieutenant Governor,Patrick,REP,24063,37.0
2018,136,Lieutenant Governor,McKennon,LIB,2282,3.5
2018,136,U.S. Senate,O'Rourke,DEM,41750,63.5
2018,136,U.S. Senate,Cruz,REP,23172,35.3
2018,136,U.S. Senate,Dikeman,LIB,786,1.2
2018,137,Attorney General,Paxton,REP,8653,30.8
2018,137,Governor,Valdez,DEM,17557,62.3
2018,137,Governor,Abbott,REP,10183,36.1
2018,137,Governor,Tippetts,LIB,463,1.6
2018,137,Lieutenant Governor,Collier,DEM,18625,66.1
2018,137,Lieutenant Governor,Patrick,REP,9034,32.1
2018,137,Lieutenant Governor,McKennon,LIB,523,1.9
2018,137,U.S. Senate,O'Rourke,DEM,19309,68.4
2018,137,U.S. Senate,Cruz,REP,8713,30.9
2018,137,U.S. Senate,Dikeman,LIB,214,0.8
2018,138,Attorney General,Paxton,REP,32323,52.4
2018,138,Governor,Abbott,REP,36330,58.7
2018,138,Governor,Valdez,DEM,24479,39.6
2018,138,Governor,Tippetts,LIB,1064,1.7
2018,138,Lieutenant Governor,Patrick,REP,33088,53.5
2018,138,Lieutenant Governor,Collier,DEM,27607,44.7
2018,138,Lieutenant Governor,McKennon,LIB,1111,1.8
2018,138,U.S. Senate,Cruz,REP,32754,52.8
2018,138,U.S. Senate,O'Rourke,DEM,28778,46.4
2018,138,U.S. Senate,Dikeman,LIB,519,0.8
2018,139,Attorney General,Paxton,REP,11512,22.7
2018,139,Governor,Valdez,DEM,36147,71.1
2018,139,Governor,Abbott,REP,13994,27.5
2018,139,Governor,Tippetts,LIB,683,1.3
2018,139,Lieutenant Governor,Collier,DEM,37954,74.7
