year,district,office,candidate,party,votes,percentage
2018,49,Attorney General,Paxton,R,14269,14.9
2018,50,U.S. Senate,Cruz,R,10499,19.7
2018,50,U.S. Senate,O'Rourke,D,42095,79.2
2018,50,U.S. Senate,Dikeman,L,582,1.1
2018,50,Governor,Abbott,R,12885,24.4
2018,50,Governor,Valdez,D,38505,72.8
2018,50,Governor,Tippetts,L,1474,2.8
2018,50,Lieutenant Governor,Patrick,R,11120,21.1
2018,50,Lieutenant Governor,Collier,D,39769,75.5
2018,50,Lieutenant Governor,McKennon,L,1773,3.4
2018,50,Attorney General,Paxton,R,10600,20.1
2018,51,U.S. Senate,Cruz,R,6449,11.4
2018,51,U.S. Senate,O'Rourke,D,49364,87.6
2018,51,U.S. Senate,Dikeman,L,515,0.9
2018,51,Governor,Abbott,R,8879,15.9
2018,51,Governor,Valdez,D,45471,81.4
2018,51,Governor,Tippetts,L,1500,2.7
2018,51,Lieutenant Governor,Patrick,R,7223,13.0
2018,51,Lieutenant Governor,Collier,D,46351,83.4
2018,51,Lieutenant Governor,McKennon,L,1982,3.6
2018,51,Attorney General,Paxton,R,6807,12.3
2018,52,U.S. Senate,Cruz,R,33267,51.1
2018,52,U.S. Senate,O'Rourke,D,31021,47.7
2018,52,U.S. Senate,Dikeman,L,782,1.2
2018,52,Governor,Abbott,R,37207,57.3
2018,52,Governor,Valdez,D,26120,40.3
2018,52,Governor,Tippetts,L,1561,2.4
2018,52,Lieutenant Governor,Patrick,R,33674,52.2
